metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,0.2758575466435967,0.01865283004722369,0.2589171652001766,0.2958470982930745
cpu_cores_per_rps,3,0.0025488195938056383,0.00012953655921346143,0.00244002329811468,0.002692112312384131
cpu_throttle_ratio,3,0.010363582027033922,0.00791534199459383,0.005430066207182716,0.019493518992998695
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,19402.333333333332,377.81124034805174,19005.0,19757.0
k6_steady_latency_p50_ms,3,3.0930276666666665,0.08665977932312852,2.993416,3.151083
k6_steady_latency_p95_ms,3,5.9991027333333315,1.0356287875728891,5.128708,7.144466799999998
k6_steady_latency_p99_ms,3,39.48872834666661,37.33581663627258,17.137194999999974,82.59050199999989
k6_steady_rps,3,107.79074074074073,2.0989513352669538,105.58333333333333,109.7611111111111
k6_thresholds_passed,3,1.0,0.0,1.0,1.0
latency_p50_seconds,3,0.002561069776257698,3.355113781788642e-05,0.002541514254194972,0.0025998107038375496
latency_p95_seconds,3,0.004866032574889626,6.374716185398375e-05,0.004828877082970446,0.004939640337291344
latency_p99_seconds,3,0.014958793397551214,0.011797472036678202,0.007635681818181876,0.028568181818180383
memory_bytes_per_rps,3,8197141.099544789,236437.0716405775,7961160.640700738,8434032.153727558
memory_working_set_bytes,3,886382025.8693603,10350721.202662477,874884106.3434343,894956903.9515152
postgres_cache_hit_ratio,3,0.9999583918059273,5.6377438268372846e-05,0.99989347789538,0.9999950977268158
postgres_connections,3,11.666666666666666,9.814954576223638,6.0,23.0
postgres_locks,3,1.3333333333333333,0.5773502691896257,1.0,2.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,956930.6666666666,23634.416035378013,929640.0,970592.0
redis_ops_per_second,3,110.20434656313579,1.9607622468763872,108.0640469321956,111.91397015142515
restarts,3,0.0,0.0,0.0,0.0
rps,3,108.16944475865694,1.9125021468868144,106.1125790889918,109.89404005625333
rps_per_tenant,3,108.16944475865694,1.9125021468868144,106.1125790889918,109.89404005625333
running_pods,3,7.0,0.0,7.0,7.0
tenant_count,3,1.0,0.0,1.0,1.0
