metric,runs,mean,sample_standard_deviation,minimum,maximum
cpu_cores,3,0.5192296930889992,0.03243484239711826,0.4817790333961397,0.5382791644988261
cpu_cores_per_rps,3,0.01658822863950458,0.0015195807529029515,0.01484804234975875,0.017653102230851415
cpu_throttle_ratio,3,0.37948242392741505,0.00735341426808127,0.37259994777350164,0.3872302085199839
error_rate,3,0.0,0.0,0.0,0.0
k6_steady_checks_rate,3,1.0,0.0,1.0,1.0
k6_steady_error_rate,3,0.0,0.0,0.0,0.0
k6_steady_http_requests,3,3741.0,109.38007131100254,3643.0,3859.0
k6_steady_latency_p50_ms,3,699.9712223333332,79.00646317973175,637.471833,788.774292
k6_steady_latency_p95_ms,3,2331.0089428666665,83.37614205471685,2266.269668,2425.0892015999993
k6_steady_latency_p99_ms,3,2653.783586493333,89.54654476995756,2571.1979878799993,2748.958645
k6_steady_rps,3,31.175,0.9115005942583531,30.358333333333334,32.15833333333333
k6_thresholds_passed,3,0.0,0.0,0.0,0.0
latency_p50_seconds,3,0.09400669365629577,0.031914315693767084,0.07512810563274215,0.13085443037974687
latency_p95_seconds,3,0.46111846109312205,0.004584560237584697,0.45626627604166653,0.46537769784172656
latency_p99_seconds,3,0.6138379629629599,0.07539936154708486,0.526805555555551,0.6593749999999995
memory_bytes_per_rps,3,30254166.786794156,1003235.3150923362,29133176.640215576,31067677.5036783
memory_working_set_bytes,3,948126037.3333334,3312306.7585860724,945293214.4761904,951767917.7142857
postgres_cache_hit_ratio,3,0.9999909883601558,4.141335392228663e-06,0.9999865607654989,0.9999947667542363
postgres_connections,3,29.333333333333332,2.309401076758503,28.0,32.0
postgres_locks,3,12.666666666666666,8.082903768654761,8.0,22.0
redis_hit_ratio,3,0.0,0.0,0.0,0.0
redis_memory_bytes,3,1312333.3333333333,85248.38601013707,1244080.0,1407888.0
redis_ops_per_second,3,23.371134758501174,0.8708449672422318,22.43766785394564,24.16167465071761
restarts,3,0.0,0.0,0.0,0.0
rps,3,31.360638087774063,0.9957082757934327,30.492043690660974,32.447310025618805
rps_per_tenant,3,2.090709205851604,0.06638055171956227,2.0328029127107317,2.1631540017079205
running_pods,3,7.0,0.0,7.0,7.0
tenant_count,3,15.0,0.0,15.0,15.0
